"Libellé";"Taux de chômage localisé par région - Île-de-France";"Codes";"Taux de chômage localisé par région - Centre-Val de Loire";"Codes";"Taux de chômage localisé par région - Pays de la Loire";"Codes";"Taux de chômage localisé par région - Bretagne";"Codes";"Taux de chômage localisé par région - Provence-Alpes-Côte d'Azur";"Codes";"Taux de chômage localisé par région - Corse";"Codes";"Taux de chômage localisé par région - Bourgogne-Franche-Comté";"Codes";"Taux de chômage localisé par région - Hauts-de-France";"Codes";"Taux de chômage localisé par région - Grand Est";"Codes";"Taux de chômage localisé par région - Nouvelle-Aquitaine";"Codes";"Taux de chômage localisé par région - Occitanie";"Codes";"Taux de chômage localisé par région - Auvergne-Rhône-Alpes";"Codes";"Taux de chômage localisé par région - France métropolitaine";"Codes";"Taux de chômage localisé par département - Alpes-de-Haute-Provence";"Codes"
"idBank";"001515843";"";"001515847";"";"001515854";"";"001515855";"";"001515864";"";"001515865";"";"001739980";"";"001739982";"";"001739983";"";"001739984";"";"001739985";"";"001739986";"";"001515842";"";"001515869";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-T4";"7.6";"SD";"8.3";"SD";"7.2";"SD";"7.2";"SD";"10.2";"SD";"9.0";"SD";"7.5";"SD";"11.0";"SD";"8.4";"SD";"8.2";"SD";"10.3";"SD";"7.5";"SD";"8.5";"SD";"10.8";"SD"
"2018-T3";"7.9";"A";"8.5";"A";"7.5";"A";"7.6";"A";"10.6";"A";"9.1";"A";"7.8";"A";"11.3";"A";"8.7";"A";"8.4";"A";"10.7";"A";"7.8";"A";"8.8";"A";"11.1";"A"
"2018-T2";"7.9";"A";"8.4";"A";"7.4";"A";"7.5";"A";"10.5";"A";"9.3";"A";"7.7";"A";"11.3";"A";"8.6";"A";"8.4";"A";"10.6";"A";"7.8";"A";"8.7";"A";"11.0";"A"
"2018-T1";"8.0";"A";"8.5";"A";"7.5";"A";"7.6";"A";"10.7";"A";"9.9";"A";"7.8";"A";"11.6";"A";"8.9";"A";"8.6";"A";"10.8";"A";"7.9";"A";"8.9";"A";"11.3";"A"
"2017-T4";"7.7";"A";"8.3";"A";"7.3";"A";"7.4";"A";"10.4";"A";"9.4";"A";"7.7";"A";"11.1";"A";"8.6";"A";"8.4";"A";"10.5";"A";"7.7";"A";"8.6";"A";"10.9";"A"
"2017-T3";"8.3";"A";"8.9";"A";"7.9";"A";"8.1";"A";"11.0";"A";"10.1";"A";"8.3";"A";"11.9";"A";"9.4";"A";"9.0";"A";"11.2";"A";"8.3";"A";"9.3";"A";"11.6";"A"
"2017-T2";"8.1";"A";"8.9";"A";"7.8";"A";"7.9";"A";"10.8";"A";"9.9";"A";"8.3";"A";"11.7";"A";"9.3";"A";"8.8";"A";"11.0";"A";"8.1";"A";"9.1";"A";"11.3";"A"
"2017-T1";"8.3";"A";"9.0";"A";"8.0";"A";"8.1";"A";"11.0";"A";"10.1";"A";"8.5";"A";"11.7";"A";"9.5";"A";"9.0";"A";"11.2";"A";"8.3";"A";"9.3";"A";"11.4";"A"
"2016-T4";"8.7";"A";"9.4";"A";"8.4";"A";"8.6";"A";"11.5";"A";"10.5";"A";"8.8";"A";"12.2";"A";"9.9";"A";"9.4";"A";"11.7";"A";"8.7";"A";"9.7";"A";"11.8";"A"
"2016-T3";"8.6";"A";"9.4";"A";"8.4";"A";"8.5";"A";"11.2";"A";"10.4";"A";"8.9";"A";"12.1";"A";"9.8";"A";"9.4";"A";"11.6";"A";"8.6";"A";"9.7";"A";"11.6";"A"
"2016-T2";"8.6";"A";"9.4";"A";"8.5";"A";"8.6";"A";"11.2";"A";"10.5";"A";"9.0";"A";"12.1";"A";"9.8";"A";"9.5";"A";"11.7";"A";"8.7";"A";"9.7";"A";"11.5";"A"
"2016-T1";"8.8";"A";"9.6";"A";"8.8";"A";"8.8";"A";"11.4";"A";"10.7";"A";"9.1";"A";"12.3";"A";"10.0";"A";"9.6";"A";"11.9";"A";"8.9";"A";"9.9";"A";"11.8";"A"
"2015-T4";"8.8";"A";"9.6";"A";"8.8";"A";"8.8";"A";"11.5";"A";"10.7";"A";"9.2";"A";"12.4";"A";"10.1";"A";"9.6";"A";"12.0";"A";"8.9";"A";"9.9";"A";"11.7";"A"
"2015-T3";"8.9";"A";"9.7";"A";"9.0";"A";"8.9";"A";"11.6";"A";"11.1";"A";"9.3";"A";"12.6";"A";"10.3";"A";"9.8";"A";"12.2";"A";"9.0";"A";"10.1";"A";"11.8";"A"
"2015-T2";"9.0";"A";"9.8";"A";"9.1";"A";"9.0";"A";"11.8";"A";"11.2";"A";"9.4";"A";"12.7";"A";"10.4";"A";"9.9";"A";"12.3";"A";"9.1";"A";"10.2";"A";"12.0";"A"
"2015-T1";"8.9";"A";"9.6";"A";"8.9";"A";"8.8";"A";"11.5";"A";"11.0";"A";"9.3";"A";"12.5";"A";"10.2";"A";"9.7";"A";"12.1";"A";"8.9";"A";"10.0";"A";"11.8";"A"
"2014-T4";"9.0";"A";"9.8";"A";"9.0";"A";"8.9";"A";"11.6";"A";"11.0";"A";"9.4";"A";"12.6";"A";"10.3";"A";"9.8";"A";"12.2";"A";"8.9";"A";"10.1";"A";"11.9";"A"
"2014-T3";"8.9";"A";"9.5";"A";"8.8";"A";"8.8";"A";"11.5";"A";"10.8";"A";"9.2";"A";"12.5";"A";"10.1";"A";"9.6";"A";"12.1";"A";"8.8";"A";"9.9";"A";"11.8";"A"
"2014-T2";"8.8";"A";"9.4";"A";"8.7";"A";"8.7";"A";"11.3";"A";"10.5";"A";"9.1";"A";"12.4";"A";"10.0";"A";"9.5";"A";"11.9";"A";"8.7";"A";"9.8";"A";"11.6";"A"
"2014-T1";"8.7";"A";"9.4";"A";"8.6";"A";"8.6";"A";"11.3";"A";"10.2";"A";"9.1";"A";"12.5";"A";"10.0";"A";"9.4";"A";"11.8";"A";"8.6";"A";"9.8";"A";"11.5";"A"
"2013-T4";"8.7";"A";"9.3";"A";"8.6";"A";"8.6";"A";"11.3";"A";"10.3";"A";"9.0";"A";"12.5";"A";"9.9";"A";"9.4";"A";"11.8";"A";"8.6";"A";"9.8";"A";"11.6";"A"
"2013-T3";"8.7";"A";"9.4";"A";"8.7";"A";"8.8";"A";"11.4";"A";"10.3";"A";"9.2";"A";"12.8";"A";"10.2";"A";"9.6";"A";"11.9";"A";"8.7";"A";"9.9";"A";"11.6";"A"
"2013-T2";"8.8";"A";"9.6";"A";"8.8";"A";"8.9";"A";"11.6";"A";"10.3";"A";"9.5";"A";"13.0";"A";"10.3";"A";"9.7";"A";"12.1";"A";"8.9";"A";"10.1";"A";"11.7";"A"
"2013-T1";"8.7";"A";"9.5";"A";"8.6";"A";"8.7";"A";"11.4";"A";"10.1";"A";"9.4";"A";"12.9";"A";"10.2";"A";"9.6";"A";"11.9";"A";"8.8";"A";"9.9";"A";"11.5";"A"
"2012-T4";"8.5";"A";"9.2";"A";"8.4";"A";"8.6";"A";"11.2";"A";"9.9";"A";"9.2";"A";"12.7";"A";"9.9";"A";"9.4";"A";"11.6";"A";"8.7";"A";"9.7";"A";"11.4";"A"
"2012-T3";"8.3";"A";"8.9";"A";"8.1";"A";"8.2";"A";"10.9";"A";"9.4";"A";"8.8";"A";"12.3";"A";"9.5";"A";"9.2";"A";"11.2";"A";"8.4";"A";"9.4";"A";"11.0";"A"
"2012-T2";"8.3";"A";"8.8";"A";"8.0";"A";"8.1";"A";"10.9";"A";"9.5";"A";"8.7";"A";"12.2";"A";"9.4";"A";"9.1";"A";"11.2";"A";"8.4";"A";"9.3";"A";"11.0";"A"
"2012-T1";"8.1";"A";"8.5";"A";"7.8";"A";"7.8";"A";"10.7";"A";"9.3";"A";"8.4";"A";"11.9";"A";"9.1";"A";"8.9";"A";"10.9";"A";"8.1";"A";"9.1";"A";"10.7";"A"
"2011-T4";"8.0";"A";"8.3";"A";"7.6";"A";"7.6";"A";"10.6";"A";"9.3";"A";"8.2";"A";"11.7";"A";"9.0";"A";"8.8";"A";"10.7";"A";"8.0";"A";"9.0";"A";"10.5";"A"
"2011-T3";"7.9";"A";"8.2";"A";"7.5";"A";"7.5";"A";"10.5";"A";"9.2";"A";"8.1";"A";"11.5";"A";"8.8";"A";"8.6";"A";"10.5";"A";"7.9";"A";"8.8";"A";"10.4";"A"
"2011-T2";"7.8";"A";"8.0";"A";"7.4";"A";"7.3";"A";"10.3";"A";"9.0";"A";"8.0";"A";"11.4";"A";"8.7";"A";"8.4";"A";"10.3";"A";"7.7";"A";"8.7";"A";"10.1";"A"
"2011-T1";"7.8";"A";"8.0";"A";"7.5";"A";"7.4";"A";"10.3";"A";"9.1";"A";"8.1";"A";"11.5";"A";"8.7";"A";"8.5";"A";"10.4";"A";"7.8";"A";"8.8";"A";"9.9";"A"
"2010-T4";"7.9";"A";"8.1";"A";"7.6";"A";"7.5";"A";"10.2";"A";"9.0";"A";"8.2";"A";"11.6";"A";"8.8";"A";"8.5";"A";"10.3";"A";"7.9";"A";"8.8";"A";"9.7";"A"
"2010-T3";"7.9";"A";"8.2";"A";"7.8";"A";"7.5";"A";"10.1";"A";"8.9";"A";"8.4";"A";"11.7";"A";"8.9";"A";"8.5";"A";"10.3";"A";"8.0";"A";"8.8";"A";"9.7";"A"
"2010-T2";"7.9";"A";"8.2";"A";"7.9";"A";"7.6";"A";"10.1";"A";"8.8";"A";"8.6";"A";"11.7";"A";"9.0";"A";"8.5";"A";"10.3";"A";"8.1";"A";"8.9";"A";"9.8";"A"
"2010-T1";"8.0";"A";"8.3";"A";"8.0";"A";"7.7";"A";"10.2";"A";"8.8";"A";"8.7";"A";"11.7";"A";"9.1";"A";"8.5";"A";"10.4";"A";"8.3";"A";"9.0";"A";"9.9";"A"
"2009-T4";"8.1";"A";"8.4";"A";"8.2";"A";"7.8";"A";"10.4";"A";"8.8";"A";"8.8";"A";"11.9";"A";"9.3";"A";"8.7";"A";"10.5";"A";"8.5";"A";"9.1";"A";"10.0";"A"
"2009-T3";"7.7";"A";"8.0";"A";"8.0";"A";"7.5";"A";"10.0";"A";"8.4";"A";"8.5";"A";"11.5";"A";"9.1";"A";"8.4";"A";"10.1";"A";"8.1";"A";"8.8";"A";"9.6";"A"
"2009-T2";"7.6";"A";"8.1";"A";"8.0";"A";"7.6";"A";"9.9";"A";"8.2";"A";"8.6";"A";"11.7";"A";"9.2";"A";"8.3";"A";"10.1";"A";"8.2";"A";"8.8";"A";"9.6";"A"
"2009-T1";"7.0";"A";"7.4";"A";"7.3";"A";"7.0";"A";"9.4";"A";"8.0";"A";"8.0";"A";"11.0";"A";"8.5";"A";"7.8";"A";"9.6";"A";"7.5";"A";"8.2";"A";"9.3";"A"
"2008-T4";"6.5";"A";"6.6";"A";"6.4";"A";"6.3";"A";"8.6";"A";"7.7";"A";"6.9";"A";"9.9";"A";"7.4";"A";"7.1";"A";"8.8";"A";"6.6";"A";"7.4";"A";"8.7";"A"
"2008-T3";"6.3";"A";"6.2";"A";"5.9";"A";"5.9";"A";"8.3";"A";"7.5";"A";"6.5";"A";"9.5";"A";"7.1";"A";"6.8";"A";"8.5";"A";"6.2";"A";"7.1";"A";"8.2";"A"
"2008-T2";"6.3";"A";"6.1";"A";"5.7";"A";"5.8";"A";"8.3";"A";"7.6";"A";"6.3";"A";"9.4";"A";"7.0";"A";"6.7";"A";"8.3";"A";"6.1";"A";"7.0";"A";"8.2";"A"
"2008-T1";"6.3";"A";"5.9";"A";"5.6";"A";"5.7";"A";"8.3";"A";"7.7";"A";"6.2";"A";"9.2";"A";"6.8";"A";"6.5";"A";"8.2";"A";"5.9";"A";"6.8";"A";"7.9";"A"
"2007-T4";"6.6";"A";"6.2";"A";"5.9";"A";"6.0";"A";"8.6";"A";"7.9";"A";"6.4";"A";"9.5";"A";"7.1";"A";"6.7";"A";"8.5";"A";"6.2";"A";"7.1";"A";"8.3";"A"
"2007-T3";"7.1";"A";"6.6";"A";"6.4";"A";"6.5";"A";"9.1";"A";"8.3";"A";"6.9";"A";"10.0";"A";"7.6";"A";"7.2";"A";"9.0";"A";"6.6";"A";"7.6";"A";"8.7";"A"
"2007-T2";"7.4";"A";"6.7";"A";"6.5";"A";"6.6";"A";"9.4";"A";"8.5";"A";"7.0";"A";"10.2";"A";"7.7";"A";"7.3";"A";"9.2";"A";"6.8";"A";"7.8";"A";"8.9";"A"
"2007-T1";"7.6";"A";"7.0";"A";"6.9";"A";"6.8";"A";"9.7";"A";"8.8";"A";"7.4";"A";"10.5";"A";"8.1";"A";"7.6";"A";"9.5";"A";"7.0";"A";"8.1";"A";"9.0";"A"
"2006-T4";"7.5";"A";"7.1";"A";"6.9";"A";"6.7";"A";"9.5";"A";"8.8";"A";"7.4";"A";"10.5";"A";"8.0";"A";"7.5";"A";"9.4";"A";"6.9";"A";"8.0";"A";"8.7";"A"
"2006-T3";"8.0";"A";"7.5";"A";"7.3";"A";"7.2";"A";"9.9";"A";"9.3";"A";"7.8";"A";"11.0";"A";"8.6";"A";"8.0";"A";"9.9";"A";"7.3";"A";"8.5";"A";"9.0";"A"
"2006-T2";"8.1";"A";"7.6";"A";"7.3";"A";"7.2";"A";"10.0";"A";"9.2";"A";"7.9";"A";"11.2";"A";"8.7";"A";"8.1";"A";"9.9";"A";"7.4";"A";"8.6";"A";"9.1";"A"
"2006-T1";"8.3";"A";"7.8";"A";"7.5";"A";"7.4";"A";"10.2";"A";"9.2";"A";"8.0";"A";"11.3";"A";"8.8";"A";"8.3";"A";"10.1";"A";"7.5";"A";"8.7";"A";"9.3";"A"
"2005-T4";"8.4";"A";"7.7";"A";"7.3";"A";"7.2";"A";"10.1";"A";"9.2";"A";"7.8";"A";"11.1";"A";"8.6";"A";"8.3";"A";"10.0";"A";"7.5";"A";"8.7";"A";"9.2";"A"
"2005-T3";"8.3";"A";"7.6";"A";"7.3";"A";"7.1";"A";"10.1";"A";"9.3";"A";"7.8";"A";"10.9";"A";"8.5";"A";"8.2";"A";"9.9";"A";"7.5";"A";"8.6";"A";"9.1";"A"
"2005-T2";"8.3";"A";"7.5";"A";"7.2";"A";"7.0";"A";"9.9";"A";"9.3";"A";"7.6";"A";"10.6";"A";"8.2";"A";"8.0";"A";"9.7";"A";"7.4";"A";"8.4";"A";"9.0";"A"
"2005-T1";"8.3";"A";"7.4";"A";"7.0";"A";"6.8";"A";"9.7";"A";"8.9";"A";"7.4";"A";"10.4";"A";"8.0";"A";"7.9";"A";"9.5";"A";"7.2";"A";"8.3";"A";"8.8";"A"
"2004-T4";"8.5";"A";"7.6";"A";"7.2";"A";"6.9";"A";"9.9";"A";"9.4";"A";"7.5";"A";"10.6";"A";"8.2";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.5";"A";"9.0";"A"
"2004-T3";"8.5";"A";"7.5";"A";"7.2";"A";"7.0";"A";"9.9";"A";"9.5";"A";"7.5";"A";"10.5";"A";"8.1";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.5";"A";"8.9";"A"
"2004-T2";"8.4";"A";"7.4";"A";"7.1";"A";"6.9";"A";"9.8";"A";"9.3";"A";"7.5";"A";"10.4";"A";"7.9";"A";"8.0";"A";"9.7";"A";"7.3";"A";"8.4";"A";"8.5";"A"
"2004-T1";"8.6";"A";"7.6";"A";"7.3";"A";"7.2";"A";"10.1";"A";"9.2";"A";"7.7";"A";"10.6";"A";"8.0";"A";"8.1";"A";"9.9";"A";"7.5";"A";"8.6";"A";"8.8";"A"
"2003-T4";"8.4";"A";"7.4";"A";"7.1";"A";"7.1";"A";"10.0";"A";"9.1";"A";"7.5";"A";"10.3";"A";"7.8";"A";"8.0";"A";"9.8";"A";"7.4";"A";"8.4";"A";"8.7";"A"
"2003-T3";"8.0";"A";"7.0";"A";"6.8";"A";"6.8";"A";"9.8";"A";"8.9";"A";"7.1";"A";"9.8";"A";"7.4";"A";"7.6";"A";"9.5";"A";"7.1";"A";"8.0";"A";"8.5";"A"
"2003-T2";"8.0";"A";"7.0";"A";"6.9";"A";"6.9";"A";"10.0";"A";"8.9";"A";"7.1";"A";"10.0";"A";"7.5";"A";"7.7";"A";"9.6";"A";"7.2";"A";"8.1";"A";"8.8";"A"
"2003-T1";"7.8";"A";"6.7";"A";"6.7";"A";"6.7";"A";"9.9";"A";"9.1";"A";"6.9";"A";"9.9";"A";"7.2";"A";"7.6";"A";"9.7";"A";"7.0";"A";"8.0";"A";"8.8";"A"
"2002-T4";"7.4";"A";"6.5";"A";"6.5";"A";"6.5";"A";"9.6";"A";"9.0";"A";"6.6";"A";"9.6";"A";"6.8";"A";"7.3";"A";"9.4";"A";"6.6";"A";"7.6";"A";"8.6";"A"
"2002-T3";"7.2";"A";"6.3";"A";"6.4";"A";"6.4";"A";"9.7";"A";"9.1";"A";"6.5";"A";"9.6";"A";"6.7";"A";"7.2";"A";"9.4";"A";"6.5";"A";"7.5";"A";"8.6";"A"
"2002-T2";"7.0";"A";"6.3";"A";"6.4";"A";"6.4";"A";"9.8";"A";"9.2";"A";"6.4";"A";"9.7";"A";"6.6";"A";"7.2";"A";"9.4";"A";"6.4";"A";"7.5";"A";"8.7";"A"
"2002-T1";"6.7";"A";"6.2";"A";"6.4";"A";"6.4";"A";"10.0";"A";"9.6";"A";"6.4";"A";"9.8";"A";"6.5";"A";"7.2";"A";"9.5";"A";"6.4";"A";"7.5";"A";"8.8";"A"
"2001-T4";"6.6";"A";"6.1";"A";"6.5";"A";"6.4";"A";"10.2";"A";"10.1";"A";"6.3";"A";"9.8";"A";"6.4";"A";"7.3";"A";"9.5";"A";"6.4";"A";"7.5";"A";"8.9";"A"
